,Hamlet,King Claudius,King Hamlet,Queen Gertrude,Polonius,Laertes,Ophelia,Horatio,Rosencrantz,Guildenstern,Fortinbras,Voltimand,Cornelius,Marcellus,Bernardo,Francisco,Osric,Reynaldo,Actors
Hamlet,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
King Claudius,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Gertrude,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polonius,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Laertes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horatio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosencrantz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guildenstern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortinbras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voltimand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornelius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reynaldo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
