Character Pair,Count
"('Bernardo', 'Francisco')",1
"('Francisco', 'Marcellus')",1
"('Francisco', 'Horatio')",1
"('Francisco', 'Ghost')",1
"('Francisco', 'King Fortinbras')",1
"('Francisco', 'Hamlet')",1
"('Bernardo', 'Marcellus')",2
"('Bernardo', 'Horatio')",2
"('Bernardo', 'Ghost')",1
"('Bernardo', 'King Fortinbras')",1
"('Bernardo', 'Hamlet')",2
"('Horatio', 'Marcellus')",4
"('Ghost', 'Marcellus')",3
"('King Fortinbras', 'Marcellus')",1
"('Hamlet', 'Marcellus')",4
"('Ghost', 'Horatio')",3
"('Horatio', 'King Fortinbras')",1
"('Hamlet', 'Horatio')",7
"('Ghost', 'King Fortinbras')",1
"('Ghost', 'Hamlet')",4
"('Hamlet', 'King Fortinbras')",1
"('King Claudius', 'Queen Gertrude')",9
"('Hamlet', 'King Claudius')",8
"('King Claudius', 'Polonius')",5
"('King Claudius', 'Laertes')",5
"('King Claudius', 'Voltimand')",2
"('Cornelius', 'King Claudius')",2
"('King Claudius', 'Lords')",1
"('Attendants', 'King Claudius')",2
"('Horatio', 'King Claudius')",5
"('King Claudius', 'Marcellus')",1
"('Bernardo', 'King Claudius')",1
"('Hamlet', 'Queen Gertrude')",7
"('Polonius', 'Queen Gertrude')",5
"('Laertes', 'Queen Gertrude')",5
"('Queen Gertrude', 'Voltimand')",2
"('Cornelius', 'Queen Gertrude')",2
"('Lords', 'Queen Gertrude')",1
"('Attendants', 'Queen Gertrude')",2
"('Horatio', 'Queen Gertrude')",5
"('Marcellus', 'Queen Gertrude')",1
"('Bernardo', 'Queen Gertrude')",1
"('Hamlet', 'Polonius')",6
"('Hamlet', 'Laertes')",3
"('Hamlet', 'Voltimand')",2
"('Cornelius', 'Hamlet')",2
"('Hamlet', 'Lords')",1
"('Attendants', 'Hamlet')",2
"('Laertes', 'Polonius')",2
"('Polonius', 'Voltimand')",2
"('Cornelius', 'Polonius')",2
"('Lords', 'Polonius')",1
"('Attendants', 'Polonius')",2
"('Horatio', 'Polonius')",2
"('Marcellus', 'Polonius')",1
"('Bernardo', 'Polonius')",1
"('Laertes', 'Voltimand')",1
"('Cornelius', 'Laertes')",1
"('Laertes', 'Lords')",1
"('Attendants', 'Laertes')",1
"('Horatio', 'Laertes')",4
"('Laertes', 'Marcellus')",1
"('Bernardo', 'Laertes')",1
"('Cornelius', 'Voltimand')",2
"('Lords', 'Voltimand')",1
"('Attendants', 'Voltimand')",2
"('Horatio', 'Voltimand')",1
"('Marcellus', 'Voltimand')",1
"('Bernardo', 'Voltimand')",1
"('Cornelius', 'Lords')",1
"('Attendants', 'Cornelius')",2
"('Cornelius', 'Horatio')",1
"('Cornelius', 'Marcellus')",1
"('Bernardo', 'Cornelius')",1
"('Attendants', 'Lords')",1
"('Horatio', 'Lords')",1
"('Lords', 'Marcellus')",1
"('Bernardo', 'Lords')",1
"('Attendants', 'Horatio')",1
"('Attendants', 'Marcellus')",1
"('Attendants', 'Bernardo')",1
"('Laertes', 'Ophelia')",2
"('Ophelia', 'Polonius')",4
"('Polonius', 'Reynaldo')",1
"('Ophelia', 'Reynaldo')",1
"('King Claudius', 'Rosencrantz')",6
"('Guildenstern', 'King Claudius')",6
"('Ambassadors', 'King Claudius')",1
"('King Claudius', 'Players')",1
"('First Player', 'King Claudius')",2
"('Queen Gertrude', 'Rosencrantz')",4
"('Guildenstern', 'Queen Gertrude')",4
"('Ambassadors', 'Queen Gertrude')",1
"('Players', 'Queen Gertrude')",1
"('First Player', 'Queen Gertrude')",2
"('Guildenstern', 'Rosencrantz')",8
"('Attendants', 'Rosencrantz')",1
"('Polonius', 'Rosencrantz')",4
"('Rosencrantz', 'Voltimand')",1
"('Cornelius', 'Rosencrantz')",1
"('Ambassadors', 'Rosencrantz')",1
"('Hamlet', 'Rosencrantz')",7
"('Players', 'Rosencrantz')",1
"('First Player', 'Rosencrantz')",2
"('Attendants', 'Guildenstern')",1
"('Guildenstern', 'Polonius')",4
"('Guildenstern', 'Voltimand')",1
"('Cornelius', 'Guildenstern')",1
"('Ambassadors', 'Guildenstern')",1
"('Guildenstern', 'Hamlet')",7
"('Guildenstern', 'Players')",1
"('First Player', 'Guildenstern')",2
"('Ambassadors', 'Attendants')",1
"('Attendants', 'Players')",1
"('Attendants', 'First Player')",1
"('Ambassadors', 'Polonius')",1
"('Players', 'Polonius')",1
"('First Player', 'Polonius')",2
"('Ambassadors', 'Voltimand')",1
"('Players', 'Voltimand')",1
"('First Player', 'Voltimand')",1
"('Ambassadors', 'Cornelius')",1
"('Cornelius', 'Players')",1
"('Cornelius', 'First Player')",1
"('Ambassadors', 'Hamlet')",1
"('Ambassadors', 'Players')",1
"('Ambassadors', 'First Player')",1
"('Hamlet', 'Players')",1
"('First Player', 'Hamlet')",2
"('First Player', 'Players')",1
"('King Claudius', 'Ophelia')",3
"('Ophelia', 'Queen Gertrude')",3
"('Ophelia', 'Rosencrantz')",2
"('Guildenstern', 'Ophelia')",2
"('Hamlet', 'Ophelia')",2
"('Hamlet', 'Lucianus')",1
"('Hamlet', 'Player King')",1
"('Hamlet', 'Player Queen')",1
"('First Player', 'Horatio')",1
"('First Player', 'Lucianus')",1
"('First Player', 'Player King')",1
"('First Player', 'Player Queen')",1
"('First Player', 'Ophelia')",1
"('Lucianus', 'Polonius')",1
"('Player King', 'Polonius')",1
"('Player Queen', 'Polonius')",1
"('Horatio', 'Rosencrantz')",1
"('Lucianus', 'Rosencrantz')",1
"('Player King', 'Rosencrantz')",1
"('Player Queen', 'Rosencrantz')",1
"('Guildenstern', 'Horatio')",1
"('Guildenstern', 'Lucianus')",1
"('Guildenstern', 'Player King')",1
"('Guildenstern', 'Player Queen')",1
"('Horatio', 'Lucianus')",1
"('Horatio', 'Player King')",1
"('Horatio', 'Player Queen')",1
"('Horatio', 'Ophelia')",2
"('Lucianus', 'Queen Gertrude')",1
"('Player King', 'Queen Gertrude')",1
"('Player Queen', 'Queen Gertrude')",1
"('Lucianus', 'Player King')",1
"('Lucianus', 'Player Queen')",1
"('King Claudius', 'Lucianus')",1
"('Lucianus', 'Ophelia')",1
"('Player King', 'Player Queen')",1
"('King Claudius', 'Player King')",1
"('Ophelia', 'Player King')",1
"('King Claudius', 'Player Queen')",1
"('Ophelia', 'Player Queen')",1
"('Ghost', 'Polonius')",1
"('Ghost', 'Queen Gertrude')",1
"('Captain', 'Fortinbras')",1
"('Fortinbras', 'Hamlet')",2
"('Fortinbras', 'Rosencrantz')",1
"('Fortinbras', 'Guildenstern')",1
"('Captain', 'Hamlet')",1
"('Captain', 'Rosencrantz')",1
"('Captain', 'Guildenstern')",1
"('Gentleman', 'Queen Gertrude')",1
"('Gentleman', 'Horatio')",1
"('Gentleman', 'Ophelia')",1
"('Gentleman', 'King Claudius')",1
"('Gentleman', 'Laertes')",1
"('Horatio', 'Servant')",1
"('First Sailor', 'Horatio')",1
"('First Sailor', 'Servant')",1
"('King Claudius', 'Messenger')",1
"('Laertes', 'Messenger')",1
"('Messenger', 'Queen Gertrude')",1
"('First Clown', 'Second Clown')",1
"('First Clown', 'Hamlet')",1
"('First Clown', 'Horatio')",1
"('First Clown', 'Priest')",1
"('First Clown', 'Laertes')",1
"('First Clown', 'King Claudius')",1
"('First Clown', 'Queen Gertrude')",1
"('Hamlet', 'Second Clown')",1
"('Horatio', 'Second Clown')",1
"('Priest', 'Second Clown')",1
"('Laertes', 'Second Clown')",1
"('King Claudius', 'Second Clown')",1
"('Queen Gertrude', 'Second Clown')",1
"('Hamlet', 'Priest')",1
"('Horatio', 'Priest')",1
"('Laertes', 'Priest')",1
"('King Claudius', 'Priest')",1
"('Priest', 'Queen Gertrude')",1
"('Hamlet', 'Osric')",1
"('A Lord', 'Hamlet')",1
"('First Ambassador', 'Hamlet')",1
"('Horatio', 'Osric')",1
"('A Lord', 'Horatio')",1
"('Fortinbras', 'Horatio')",1
"('First Ambassador', 'Horatio')",1
"('King Claudius', 'Osric')",1
"('A Lord', 'King Claudius')",1
"('Fortinbras', 'King Claudius')",1
"('First Ambassador', 'King Claudius')",1
"('Osric', 'Queen Gertrude')",1
"('A Lord', 'Queen Gertrude')",1
"('Fortinbras', 'Queen Gertrude')",1
"('First Ambassador', 'Queen Gertrude')",1
"('Laertes', 'Osric')",1
"('A Lord', 'Laertes')",1
"('Fortinbras', 'Laertes')",1
"('First Ambassador', 'Laertes')",1
"('A Lord', 'Osric')",1
"('Fortinbras', 'Osric')",1
"('First Ambassador', 'Osric')",1
"('A Lord', 'Fortinbras')",1
"('A Lord', 'First Ambassador')",1
"('First Ambassador', 'Fortinbras')",1
