couples,interactions
"Laertes, Player Queen",0
"King Claudius, Players",0
"Francisco, Reynaldo",0
"First Ambassador, Marcellus",0
"Attendants, Voltimand",0
"First Ambassador, Servant",0
"Fortinbras, Guildenstern",0
"A Lord, Laertes",0
"Hamlet, Laertes",0
"First Player, Voltimand",0
"Laertes, Rosencrantz",0
"Rosencrantz, Second Clown",0
"Lucianus, Messenger",0
"Lucianus, Reynaldo",0
"First Ambassador, Players",0
"First Sailor, Hamlet",0
"Prince Fortinbras, Queen Gertrude",0
"Ambassadors from Norway, Francisco",0
"Guildenstern, Queen Gertrude",0
"King Fortinbras, Servant",0
"Player King, Reynaldo",0
"King Claudius, Prince Fortinbras",0
"Polonius, Priest",0
"First Clown, Francisco",0
"Polonius, Second Clown",0
"Ophelia, Prince Fortinbras",0
"King Claudius, Lords",0
"Player Queen, Players",0
"Gentlemen, Polonius",0
"Cornelius, Polonius",0
"Captain, Gentlemen",0
"King Claudius, Player King",0
"Francisco, Laertes",0
"Fortinbras, Messenger",0
"Ophelia, Player King",0
"Osric, Rosencrantz",0
"Attendants, Hamlet",0
"First Ambassador, Prince Fortinbras",0
"First Sailor, Rosencrantz",0
"Gentlemen, Priest",0
"Cornelius, Priest",0
"Gentlemen, Second Clown",0
"Cornelius, Second Clown",0
"First Player, Hamlet",0
"Cornelius, Ophelia",0
"First Ambassador, Lords",0
"Lords, Ophelia",0
"Captain, Second Clown",0
"Player Queen, Prince Fortinbras",0
"Player Queen, Queen Gertrude",0
"Captain, Ophelia",0
"A Lord, Captain",0
"Ghost, Osric",0
"King Fortinbras, Lords",0
"Attendants, Rosencrantz",0
"Ambassadors from Norway, Attendants",0
"A Lord, Servant",0
"Hamlet, Servant",0
"King Fortinbras, Player King",0
"Polonius, Voltimand",0
"First Player, Rosencrantz",0
"First Sailor, Francisco",0
"First Sailor, King Fortinbras",0
"Bernardo, First Sailor",0
"Ghost, Messenger",0
"A Lord, Players",0
"Hamlet, Players",0
"Ghost, Reynaldo",0
"Horatio, King Fortinbras",0
