Character,Type of Relationship,With/Of
Hamlet,Son Of,Ghost
Hamlet,Nephew Of,King Claudius
Hamlet,Friend Of,Horatio
Hamlet,Love Interest Of,Ophelia
King Claudius,Brother Of,Ghost
King Claudius,Uncle Of,Hamlet
King Claudius,Husband Of,Gertrude
Queen Gertrude,Mother Of,Hamlet
Queen Gertrude,Wife Of,King Claudius
Polonius,Father Of,"['Laertes', 'Ophelia']"
Laertes,Brother Of,Ophelia
Ophelia,Sister Of,Laertes
Ophelia,Fiancee Of,Hamlet
Horatio,Friend Of,Hamlet
Rosencrantz,Companion Of,Guildenstern
Guildenstern,Companion Of,Rosencrantz
Reynalds,Servant Of,Polonius
Captain,Messenger Of,Fortinbras
